Время,Заголовок,Комментарии
,,,
"<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>","<span class=""tahoma font12 date n3"">23:52</span>","<a class=""tahoma font12"" href=""/4993880-prezidentam-kazahstana-i-rossii.html"" target=""_blank"">Президентам Казахстана и России представили ряд совместных проектов</a>",
"<a class=""tahoma font12"" href=""/4993848-naznachen-zamestitel-rukovoditelya.html"" target=""_blank"">Назначен заместитель руководителя канцелярии премьер-министра РК</a>","<span class=""tahoma font12 date n3"">17:40</span>","<a class=""tahoma font12"" href=""/4993848-naznachen-zamestitel-rukovoditelya.html"" target=""_blank"">Назначен заместитель руководителя канцелярии премьер-министра РК</a>","<span class=""comm_num"">4</span>"
"<a class=""tahoma font12"" href=""/4993885-is-esf-vne-dostupa-s-22-00-ch-7.html"" target=""_blank"">ИС «ЭСФ» вне доступа с 22:00 ч 7 ноября до 00:15 ч 8 ноября 2019 года</a>","<span class=""tahoma font12 date n3"">17:40</span>","<a class=""tahoma font12"" href=""/4993885-is-esf-vne-dostupa-s-22-00-ch-7.html"" target=""_blank"">ИС «ЭСФ» вне доступа с 22:00 ч 7 ноября до 00:15 ч 8 ноября 2019 года</a>",
"<a class=""tahoma font12"" href=""/4993846-oplatu-bankovskoy-kartoy-za-proezd-v.html"" target=""_blank"">Оплату банковской картой за проезд в транспорте прорабатывают в Алматы </a>","<span class=""tahoma font12 date n3"">17:36</span>","<a class=""tahoma font12"" href=""/4993846-oplatu-bankovskoy-kartoy-za-proezd-v.html"" target=""_blank"">Оплату банковской картой за проезд в транспорте прорабатывают в Алматы </a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993842-obrashchenie-bayandarovoy-k-prezidentu.html"" target=""_blank"">Обращение Баяндаровой к Президенту. Высказалась вторая сторона </a>","<span class=""tahoma font12 date n3"">17:24</span>","<a class=""tahoma font12"" href=""/4993842-obrashchenie-bayandarovoy-k-prezidentu.html"" target=""_blank"">Обращение Баяндаровой к Президенту. Высказалась вторая сторона </a>","<span class=""comm_num"">20</span>"
"<a class=""tahoma font12"" href=""/4993844-naznachen-novyy-zamestitel.html"" target=""_blank"">Назначен новый заместитель руководителя Канцелярии премьер-министра РК</a>","<span class=""tahoma font12 date n3"">17:24</span>","<a class=""tahoma font12"" href=""/4993844-naznachen-novyy-zamestitel.html"" target=""_blank"">Назначен новый заместитель руководителя Канцелярии премьер-министра РК</a>",
"<a class=""tahoma font12"" href=""/4993841-v-vko-provedeny-chasy.html"" target=""_blank"">В ВКО проведены ""Часы добропорядочности""</a>","<span class=""tahoma font12 date n3"">17:19</span>","<a class=""tahoma font12"" href=""/4993841-v-vko-provedeny-chasy.html"" target=""_blank"">В ВКО проведены ""Часы добропорядочности""</a>",
"<a class=""tahoma font12"" href=""/4993840-povysyat-li-tsenu-za-proezd-v.html"" target=""_blank"">Повысят ли цену за проезд в транспорте Алматы</a>","<span class=""tahoma font12 date n3"">17:17</span>","<a class=""tahoma font12"" href=""/4993840-povysyat-li-tsenu-za-proezd-v.html"" target=""_blank"">Повысят ли цену за проезд в транспорте Алматы</a>","<span class=""comm_num"">7</span>"
"<a class=""tahoma font12"" href=""/4993839-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: USDKZT_TOM = 388,90 (0), RUBKZT_TOM = 6,1072 (-0,0101)</a>","<span class=""tahoma font12 date n3"">17:12</span>","<a class=""tahoma font12"" href=""/4993839-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: USDKZT_TOM = 388,90 (0), RUBKZT_TOM = 6,1072 (-0,0101)</a>",
"<a class=""tahoma font12"" href=""/4993837-v-noyabre-tseny-na-elektroenergiyu-dlya.html"" target=""_blank"">В ноябре цены на электроэнергию для казахстанцев выросли на один процент</a>","<span class=""tahoma font12 date n3"">17:02</span>","<a class=""tahoma font12"" href=""/4993837-v-noyabre-tseny-na-elektroenergiyu-dlya.html"" target=""_blank"">В ноябре цены на электроэнергию для казахстанцев выросли на один процент</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993835-v-akademii-prokommentirovali-smert.html"" target=""_blank"">В академии прокомментировали смерть мальчика на тренировке в Алматы</a>","<span class=""tahoma font12 date n3"">16:54</span>","<a class=""tahoma font12"" href=""/4993835-v-akademii-prokommentirovali-smert.html"" target=""_blank"">В академии прокомментировали смерть мальчика на тренировке в Алматы</a>","<span class=""comm_num"">5</span>"
"<a class=""tahoma font12"" href=""/4993833-kogda-v-almaty-reshat-problemu.html"" target=""_blank"">Когда в Алматы решат проблему переполненных автобусов</a>","<span class=""tahoma font12 date n3"">16:51</span>","<a class=""tahoma font12"" href=""/4993833-kogda-v-almaty-reshat-problemu.html"" target=""_blank"">Когда в Алматы решат проблему переполненных автобусов</a>","<span class=""comm_num"">11</span>"
"<a class=""tahoma font12"" href=""/4993834-kazahstan-i-rossiya-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""tahoma font12 date n3"">16:49</span>","<a class=""tahoma font12"" href=""/4993834-kazahstan-i-rossiya-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>",
"<a class=""tahoma font12"" href=""/4993832-rossiya-i-kazahstan-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""tahoma font12 date n3"">16:47</span>","<a class=""tahoma font12"" href=""/4993832-rossiya-i-kazahstan-utverdili-granitsu.html"" target=""_blank"">Казахстан и Россия утвердили границу между странами</a>","<span class=""comm_num"">7</span>"
"<a class=""tahoma font12"" href=""/4993830-redkuyu-turkestanskuyu-rys-zametili-v.html"" target=""_blank"">Редкую туркестанскую рысь заметили в Чарынском каньоне</a>","<span class=""tahoma font12 date n3"">16:10</span>","<a class=""tahoma font12"" href=""/4993830-redkuyu-turkestanskuyu-rys-zametili-v.html"" target=""_blank"">Редкую туркестанскую рысь заметили в Чарынском каньоне</a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993829-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: EURKZT_TOD = 430,50 (-0,10), RUBKZT_TOD = 6,1100 (-0,0126)</a>","<span class=""tahoma font12 date n3"">16:05</span>","<a class=""tahoma font12"" href=""/4993829-rezultaty-torgov-inostrannymi-valyutami.html"" target=""_blank"">Результаты торгов иностранными валютами на KASE: EURKZT_TOD = 430,50 (-0,10), RUBKZT_TOD = 6,1100 (-0,0126)</a>",
"<a class=""tahoma font12"" href=""/4993827-kazahstantsy-vyplatili-pochti-10-mlrd.html"" target=""_blank"">Казахстанцы выплатили почти 10 млрд тенге долгов по налогам</a>","<span class=""tahoma font12 date n3"">15:56</span>","<a class=""tahoma font12"" href=""/4993827-kazahstantsy-vyplatili-pochti-10-mlrd.html"" target=""_blank"">Казахстанцы выплатили почти 10 млрд тенге долгов по налогам</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993825-v-kazahstane-izmenitsya-podhod-k.html"" target=""_blank"">В Казахстане изменится подход к оказанию госуслуг</a>","<span class=""tahoma font12 date n3"">15:45</span>","<a class=""tahoma font12"" href=""/4993825-v-kazahstane-izmenitsya-podhod-k.html"" target=""_blank"">В Казахстане изменится подход к оказанию госуслуг</a>","<span class=""comm_num"">3</span>"
"<a class=""tahoma font12"" href=""/4993823-pravila-bazovogo-grantovogo-programmno.html"" target=""_blank"">Правила базового, грантового, программно-целевого финансирования научной и (или) научно-технической деятельности, изложены в новой редакции (аннотация к документу от 29.10.2019)</a>","<span class=""tahoma font12 date n3"">15:38</span>","<a class=""tahoma font12"" href=""/4993823-pravila-bazovogo-grantovogo-programmno.html"" target=""_blank"">Правила базового, грантового, программно-целевого финансирования научной и (или) научно-технической деятельности, изложены в новой редакции (аннотация к документу от 29.10.2019)</a>",
"<a class=""tahoma font12"" href=""/4993824-premer-ministr-rk-askar-mamin.html"" target=""_blank"">Премьер-Министр РК Аскар Мамин встретился с руководством Торгово-промышленной палаты «Франция-Казахстан»</a>","<span class=""tahoma font12 date n3"">15:22</span>","<a class=""tahoma font12"" href=""/4993824-premer-ministr-rk-askar-mamin.html"" target=""_blank"">Премьер-Министр РК Аскар Мамин встретился с руководством Торгово-промышленной палаты «Франция-Казахстан»</a>",
"<a class=""tahoma font12"" href=""/4993821-kadyrov-otpravil-advokatov-na-zashchitu.html"" target=""_blank"">Кадыров отправил адвокатов на защиту срочника Шамсутдинова</a>","<span class=""tahoma font12 date n3"">15:06</span>","<a class=""tahoma font12"" href=""/4993821-kadyrov-otpravil-advokatov-na-zashchitu.html"" target=""_blank"">Кадыров отправил адвокатов на защиту срочника Шамсутдинова</a>","<span class=""comm_num"">163</span>"
"<a class=""tahoma font12"" href=""/4993819-opasnyy-limonad-prodavali-v-magazinah.html"" target=""_blank"">Опасный лимонад продавали в магазинах Нур-Султана</a>","<span class=""tahoma font12 date n3"">14:53</span>","<a class=""tahoma font12"" href=""/4993819-opasnyy-limonad-prodavali-v-magazinah.html"" target=""_blank"">Опасный лимонад продавали в магазинах Нур-Султана</a>","<span class=""comm_num"">6</span>"
"<a class=""tahoma font12"" href=""/4993817-kazakh-invest-kazahstan-stal-pochetnym.html"" target=""_blank"">KAZAKH INVEST: Казахстан стал почетным гостем на Шанхайской выставке</a>","<span class=""tahoma font12 date n3"">14:40</span>","<a class=""tahoma font12"" href=""/4993817-kazakh-invest-kazahstan-stal-pochetnym.html"" target=""_blank"">KAZAKH INVEST: Казахстан стал почетным гостем на Шанхайской выставке</a>",
"<a class=""tahoma font12"" href=""/4993816-semya-zavorotnyuk-oprovergla.html"" target=""_blank"">Семья Заворотнюк опровергла сообщения о сборе денег на лечение</a>","<span class=""tahoma font12 date n3"">14:36</span>","<a class=""tahoma font12"" href=""/4993816-semya-zavorotnyuk-oprovergla.html"" target=""_blank"">Семья Заворотнюк опровергла сообщения о сборе денег на лечение</a>",
"<a class=""tahoma font12"" href=""/4993814-territoriya-evrazii-riskuet.html"" target=""_blank"">Территория Евразии рискует превратиться в зону горячих конфликтов и ожесточенного противостояния</a>","<span class=""tahoma font12 date n3"">14:28</span>","<a class=""tahoma font12"" href=""/4993814-territoriya-evrazii-riskuet.html"" target=""_blank"">Территория Евразии рискует превратиться в зону горячих конфликтов и ожесточенного противостояния</a>","<span class=""comm_num"">8</span>"
"<a class=""tahoma font12"" href=""/4993815-sovsem-skoro-gossluzhashchim-mogut.html"" target=""_blank"">Совсем скоро госслужащим могут вернуть смартфоны на работе</a>","<span class=""tahoma font12 date n3"">14:26</span>","<a class=""tahoma font12"" href=""/4993815-sovsem-skoro-gossluzhashchim-mogut.html"" target=""_blank"">Совсем скоро госслужащим могут вернуть смартфоны на работе</a>",
"<a class=""tahoma font12"" href=""/4993813-verhovnyy-sud-opravdal-osuzhdennyh-po.html"" target=""_blank"">Верховный суд оправдал осужденных по трем уголовным делам</a>","<span class=""tahoma font12 date n3"">14:25</span>","<a class=""tahoma font12"" href=""/4993813-verhovnyy-sud-opravdal-osuzhdennyh-po.html"" target=""_blank"">Верховный суд оправдал осужденных по трем уголовным делам</a>",
"<a class=""tahoma font12"" href=""/4993811-politsiya-rassleduet-smert-15-letnego.html"" target=""_blank"">Полиция расследует смерть 15-летнего подростка в Алматы</a>","<span class=""tahoma font12 date n3"">14:25</span>","<a class=""tahoma font12"" href=""/4993811-politsiya-rassleduet-smert-15-letnego.html"" target=""_blank"">Полиция расследует смерть 15-летнего подростка в Алматы</a>",
"<a class=""tahoma font12"" href=""/4993812-korrumpirovannye-sfery-ostalis.html"" target=""_blank"">Коррумпированные сферы остались, несмотря на перевод госуслуг в е-формат</a>","<span class=""tahoma font12 date n3"">14:22</span>","<a class=""tahoma font12"" href=""/4993812-korrumpirovannye-sfery-ostalis.html"" target=""_blank"">Коррумпированные сферы остались, несмотря на перевод госуслуг в е-формат</a>",
"<a class=""tahoma font12"" href=""/4993809-pravdu-ne-skryt-mihail-te.html"" target=""_blank"">Правду не скрыть (Михаил Тё)</a>","<span class=""tahoma font12 date n3"">14:10</span>","<a class=""tahoma font12"" href=""/4993809-pravdu-ne-skryt-mihail-te.html"" target=""_blank"">Правду не скрыть (Михаил Тё)</a>",
"<a class=""tahoma font12"" href=""/4993808-vitse-ministra-obrazovaniya-kazahstana.html"" target=""_blank"">Вице-министра образования Казахстана обвиняют в плагиате</a>","<span class=""tahoma font12 date n3"">14:06</span>","<a class=""tahoma font12"" href=""/4993808-vitse-ministra-obrazovaniya-kazahstana.html"" target=""_blank"">Вице-министра образования Казахстана обвиняют в плагиате</a>","<span class=""comm_num"">5</span>"
"<a class=""tahoma font12"" href=""/4993807-gendirektor-wada-otsenil-borbu-s.html"" target=""_blank"">Гендиректор WADA оценил борьбу с допингом в спорте в Казахстане</a>","<span class=""tahoma font12 date n3"">14:04</span>","<a class=""tahoma font12"" href=""/4993807-gendirektor-wada-otsenil-borbu-s.html"" target=""_blank"">Гендиректор WADA оценил борьбу с допингом в спорте в Казахстане</a>",
"<a class=""tahoma font12"" href=""/4993810-senat-prinyal-popravki-v-soglashenie-o.html"" target=""_blank"">Сенат принял поправки в соглашение о сотрудничестве в таможенных делах в рамках СНГ</a>","<span class=""tahoma font12 date n3"">14:04</span>","<a class=""tahoma font12"" href=""/4993810-senat-prinyal-popravki-v-soglashenie-o.html"" target=""_blank"">Сенат принял поправки в соглашение о сотрудничестве в таможенных делах в рамках СНГ</a>",
"<a class=""tahoma font12"" href=""/4993806-poyavilos-video-sereznogo-dtp-na.html"" target=""_blank"">Появилось видео серьезного ДТП на терминале оплаты трассы Алматы - Хоргос</a>","<span class=""tahoma font12 date n3"">14:03</span>","<a class=""tahoma font12"" href=""/4993806-poyavilos-video-sereznogo-dtp-na.html"" target=""_blank"">Появилось видео серьезного ДТП на терминале оплаты трассы Алматы - Хоргос</a>","<span class=""comm_num"">10</span>"
"<a class=""tahoma font12"" href=""/4993805-kak-pravilno-postirat-vyazanuyu-shapku.html"" target=""_blank"">Как правильно постирать вязаную шапку</a>","<span class=""tahoma font12 date n3"">14:01</span>","<a class=""tahoma font12"" href=""/4993805-kak-pravilno-postirat-vyazanuyu-shapku.html"" target=""_blank"">Как правильно постирать вязаную шапку</a>",
"<a class=""tahoma font12"" href=""/4993804-nazarbaeva-o-razvodah-v-strane-takaya-u.html"" target=""_blank"">Дарига Назарбаева о разводах в стране: Такая у нас клик-культура получается</a>","<span class=""tahoma font12 date n3"">13:59</span>","<a class=""tahoma font12"" href=""/4993804-nazarbaeva-o-razvodah-v-strane-takaya-u.html"" target=""_blank"">Дарига Назарбаева о разводах в стране: Такая у нас клик-культура получается</a>","<span class=""comm_num"">23</span>"
"<a class=""tahoma font12"" href=""/4993803-zayavlenie-bayandarovoy-o-mente.html"" target=""_blank"">""Мент, живущий по понятиям"". В полиции прокомментировали обращение Баяндаровой</a>","<span class=""tahoma font12 date n3"">13:50</span>","<a class=""tahoma font12"" href=""/4993803-zayavlenie-bayandarovoy-o-mente.html"" target=""_blank"">""Мент, живущий по понятиям"". В полиции прокомментировали обращение Баяндаровой</a>","<span class=""comm_num"">51</span>"
"<a class=""tahoma font12"" href=""/4993802-na-chem-chashche-vsego-popadayutsya.html"" target=""_blank"">На чем чаще всего ""попадаются"" сотрудники транспортного контроля</a>","<span class=""tahoma font12 date n3"">13:47</span>","<a class=""tahoma font12"" href=""/4993802-na-chem-chashche-vsego-popadayutsya.html"" target=""_blank"">На чем чаще всего ""попадаются"" сотрудники транспортного контроля</a>","<span class=""comm_num"">1</span>"
"<a class=""tahoma font12"" href=""/4993801-sovsem-skoro-gossluzhashchim-mogut.html"" target=""_blank"">Совсем скоро госслужащим могут вернуть смартфоны на работе</a>","<span class=""tahoma font12 date n3"">13:28</span>","<a class=""tahoma font12"" href=""/4993801-sovsem-skoro-gossluzhashchim-mogut.html"" target=""_blank"">Совсем скоро госслужащим могут вернуть смартфоны на работе</a>","<span class=""comm_num"">19</span>"
"<a class=""tahoma font12"" href=""/4993800-izmenenie-tsen-na-rynke-zhilya-v.html"" target=""_blank"">Изменение цен на рынке жилья в октябре 2019 года</a>","<span class=""tahoma font12 date n3"">13:13</span>","<a class=""tahoma font12"" href=""/4993800-izmenenie-tsen-na-rynke-zhilya-v.html"" target=""_blank"">Изменение цен на рынке жилья в октябре 2019 года</a>",
"<a class=""tahoma font12"" href=""/4993799-korrumpirovannye-sfery-ostalis.html"" target=""_blank"">Коррумпированные сферы остались, несмотря на перевод госуслуг в е-формат</a>","<span class=""tahoma font12 date n3"">13:12</span>","<a class=""tahoma font12"" href=""/4993799-korrumpirovannye-sfery-ostalis.html"" target=""_blank"">Коррумпированные сферы остались, несмотря на перевод госуслуг в е-формат</a>","<span class=""comm_num"">11</span>"
"<a class=""tahoma font12"" href=""/4993798-nurtas-adambay-rasskazal-o-semkah-i.html"" target=""_blank"">Нуртас Адамбай рассказал о съемках на Кольсайских озерах и Каинды</a>","<span class=""tahoma font12 date n3"">13:09</span>","<a class=""tahoma font12"" href=""/4993798-nurtas-adambay-rasskazal-o-semkah-i.html"" target=""_blank"">Нуртас Адамбай рассказал о съемках на Кольсайских озерах и Каинды</a>",
